msv,classID,timeStamp,emotion,diemTB_baitap,soAnhChup,soLanHoc,baiHoanThanh,tbThoiGian1LanHoc,tbThoiGianHoanThanhBai,tbPhanTramMoiLanHoc,tgianHocTrongTuan,tgianHocGioHanhChinh,tgianHocNgoaiHanhChinh,trongTuan,cuoiTuan
student_028,GENE1001-2-3-24(N01),07:46.0,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),07:46.0,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_018,GENE1001-2-3-24(N01),10:15.0,neutral,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_028,GENE1001-2-3-24(N01),10:46.9,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),10:49.5,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_018,GENE1001-2-3-24(N01),11:08.9,neutral,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_018,GENE1001-2-3-24(N01),12:00.9,neutral,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_018,GENE1001-2-3-24(N01),13:03.9,neutral,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_027,GENE1001-2-3-24(N01),21:26.1,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),21:26.1,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_028,GENE1001-2-3-24(N01),21:31.9,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),21:31.9,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),21:33.9,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_027,GENE1001-2-3-24(N01),24:05.6,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),24:09.5,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_018,GENE1001-2-3-24(N01),27:32.6,neutral,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_018,GENE1001-2-3-24(N01),27:39.1,neutral,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_018,GENE1001-2-3-24(N01),38:16.9,neutral,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_028,GENE1001-2-3-24(N01),38:26.5,happy,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),38:29.1,happy,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),38:32.9,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),38:33.6,happy,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_018,GENE1001-2-3-24(N01),38:48.1,happy,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_018,GENE1001-2-3-24(N01),38:48.8,happy,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_018,GENE1001-2-3-24(N01),38:48.8,happy,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_018,GENE1001-2-3-24(N01),40:00.2,sad,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_018,GENE1001-2-3-24(N01),40:33.9,sad,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_018,GENE1001-2-3-24(N01),40:33.9,sad,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_018,GENE1001-2-3-24(N01),52:21.9,sad,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_028,GENE1001-2-3-24(N01),53:32.4,neutral,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),53:32.4,neutral,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),53:39.4,happy,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_018,GENE1001-2-3-24(N01),54:32.9,sad,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_025,GENE1001-2-3-24(N01),58:38.9,neutral,6.8,266,134,74,21.6,39,61.1,2888,1015.2,1872.8,2804.2,83.8
student_025,GENE1001-2-3-24(N01),59:15.7,neutral,6.8,266,134,74,21.6,39,61.1,2888,1015.2,1872.8,2804.2,83.8
student_025,GENE1001-2-3-24(N01),59:15.9,neutral,6.8,266,134,74,21.6,39,61.1,2888,1015.2,1872.8,2804.2,83.8
student_028,GENE1001-2-3-24(N01),15:04.9,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_025,GENE1001-2-3-24(N01),17:50.3,neutral,6.8,266,134,74,21.6,39,61.1,2888,1015.2,1872.8,2804.2,83.8
student_028,GENE1001-2-3-24(N01),24:37.8,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),24:39.2,happy,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),24:39.2,happy,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),34:16.8,happy,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
